Throughput,ODL,10.22.20.73,0.89
Throughput,ONOS,10.22.20.73,0.89
Latency,ODL,10.22.20.73,0.89
Latency,ONOS,10.22.20.73,0.89
Throughput,ODL,10.22.20.73,0.44
Throughput,ONOS,10.22.20.73,0.88
Throughput,ODL,10.22.20.73,7.55
Throughput,ODL,10.22.20.73,7.98
Throughput,ODL,10.22.20.73,8.88
Throughput,ODL,10.22.20.73,1.78
Throughput,ODL,10.22.20.73,1.78
Throughput,ODL,10.22.20.73,1.77
Throughput,ODL,10.22.20.73,1.78
Throughput,ODL,10.22.20.73,1.78
Throughput,ODL,10.22.20.73,1.77
Throughput,ODL,10.22.20.73,1.78
Throughput,ODL,10.22.20.73,1.76
Throughput,ODL,10.22.20.73,8.85
Throughput,ONOS,10.22.20.73,7.98
Latency,ODL,10.22.20.73,8.89
Latency,ONOS,10.22.20.73,8.89
Throughput,ODL,10.22.20.73,8.85
Throughput,ONOS,10.22.20.73,8.42
Latency,ODL,10.22.20.73,8.89
Latency,ONOS,10.22.20.73,6.55
Throughput,ODL,10.22.18.55,0.00
Throughput,ODL,10.22.18.55,37595.24
Throughput,ONOS,10.22.20.73,0.00
Throughput,ODL,10.22.18.55,59074.36
Throughput,ONOS,10.22.20.73,6.63
Latency,ODL,10.22.18.55,2716.80
Latency,ONOS,10.22.20.73,6.67
Throughput,ODL,10.22.18.55,48274.08
Throughput,ONOS,10.22.20.73,7.01
Latency,ODL,10.22.18.55,3341.11
Latency,ONOS,10.22.20.73,8.44
THROUGHPUT_MIN,THROUGHPUT_MAX,THROUGHPUT_AVERAGE
THROUGHPUT_MIN,THROUGHPUT_MAX,THROUGHPUT_AVERAGE
THROUGHPUT_MIN,THROUGHPUT_MAX,THROUGHPUT_AVERAGE
THROUGHPUT_MIN,THROUGHPUT_MAX,THROUGHPUT_AVERAGE
THROUGHPUT_MIN,THROUGHPUT_MAX,THROUGHPUT_AVERAGE
THROUGHPUT_MIN,THROUGHPUT_MAX,THROUGHPUT_AVERAGE
THROUGHPUT_MIN,THROUGHPUT_MAX,THROUGHPUT_AVERAGE
THROUGHPUT_MIN,THROUGHPUT_MAX,THROUGHPUT_AVERAGE
THROUGHPUT_MIN,THROUGHPUT_MAX,THROUGHPUT_AVERAGE
THROUGHPUT_MIN,THROUGHPUT_MAX,THROUGHPUT_AVERAGE
Throughput,ODL,10.22.20.88,0.00
Throughput,ODL,10.22.20.88,0.00
THROUGHPUT_MIN,THROUGHPUT_MAX,THROUGHPUT_AVERAGE
Throughput,ODL,10.22.20.88,0.00
Throughput,ODL,10.22.20.88,0.00
Throughput,ODL,10.22.20.88,0.00
THROUGHPUT_MIN,THROUGHPUT_MAX,THROUGHPUT_AVERAGE
Throughput,ODL,10.22.20.88,0.00
Throughput,ODL,10.22.20.88,0.00
Throughput,ODL,10.22.20.88,0.00
THROUGHPUT_MIN,THROUGHPUT_MAX,THROUGHPUT_AVERAGE
Throughput,ODL,10.22.20.88,0.00
Throughput,ODL,10.22.20.88,0.00
Throughput,ODL,10.22.20.88,0.00
Throughput,ONOS,10.22.20.73,5.78
Throughput,ODL,10.22.20.88,0.00
Throughput,ODL,10.22.20.88,0.00
Throughput,ODL,10.22.20.88,0.00
Throughput,ODL,10.22.20.88,0.00
Throughput,ODL,10.22.20.88,0.00
Throughput,ODL,10.22.20.88,0.00
Throughput,ONOS,10.22.20.73,4.44
Latency,ODL,10.22.20.88,0.00
Latency,ONOS,10.22.20.73,7.56
Throughput,ODL,10.22.20.88,0.00
Throughput,ODL,10.22.20.88,0.00
Throughput,ODL,10.22.20.88,0.00
Throughput,ONOS,10.22.20.73,8.87
Latency,ODL,10.22.20.88,0.00
Latency,ONOS,10.22.20.73,8.89
Throughput,ODL,10.22.20.88,0.00
Throughput,ODL,10.22.20.88,0.00
Throughput,ONOS,10.22.20.73,6.65
Latency,ODL,10.22.20.88,0.00
Latency,ONOS,10.22.20.73,8.89
Throughput,ODL,10.22.20.88,0.00
Throughput,ONOS,10.22.20.73,8.87
Latency,ODL,10.22.20.88,0.00
Latency,ONOS,10.22.20.73,6.67
Throughput,ODL,10.22.20.88,0.00
Throughput,ODL,10.22.20.88,0.00
Throughput,ODL,10.22.20.88,0.00
Throughput,ONOS,10.22.20.73,8.40
Latency,ODL,10.22.20.88,0.00
Latency,ONOS,10.22.20.73,6.22
